station,lat,lon,n_records,xch4_station_mean,xch4_forest_mean,delta_ch4_mean,delta_ch4_std
Mukhrino,60.892,68.682,35,1862.3962822805997,1854.6745676916848,7.7217145889143985,12.973119808798762
Bakchar,56.93,82.67,40,1857.022710036344,1851.854804472657,5.1679055636859745,7.186833230803924
ZOTTO,60.8,89.35,37,1856.738615690753,1848.1670887469195,8.571526943833515,11.769534871231707
