year,n_months,xch4_wetland,xch4_forest,xch4_nonwetland,delta_ch4_vs_forest,delta_ch4_vs_nonwetland
2019.0,6,1821.219339398038,1807.362094328785,1820.44343194296,13.857245069253167,0.7759074550781406
2020.0,6,1837.704764290021,1822.2499692289994,1835.3760353797982,15.454795061021741,2.328728910222935
2021.0,6,1846.2624486573861,1838.3229541034104,1847.5401166318275,7.939494553975692,-1.2776679744413286
2022.0,6,1854.6894816761887,1849.6989200107569,1857.4926531315157,4.990561665431869,-2.8031714553269467
2023.0,6,1871.3295089112155,1863.7416216260222,1871.030052396253,7.5878872851933465,0.29945651496245773
2024.0,6,1875.5573712263142,1873.589533537907,1878.4767465729556,1.967837688407144,-2.9193753466413455
2025.0,6,1883.7932891070918,1879.373918219408,1885.0903987912443,4.419370887683726,-1.297109684152474
