year,month,xch4_wetland,xch4_wetland_sd,n_wetland_pixels,xch4_forest,xch4_forest_sd,n_forest_pixels,delta_ch4
2019.0,5,1820.1416489708731,18.841151557938794,21390,1802.1598752197135,14.524682886784458,39077,17.981773751159608
2019.0,6,1810.1372694300285,13.240023347100504,18627,1803.2778918568201,14.861432751111312,33360,6.859377573208349
2019.0,7,1823.0388513980452,10.588275826307497,28161,1810.7998257847937,13.563306655076504,46150,12.239025613251442
2019.0,8,1827.2494108617493,13.462673414817974,25389,1810.9732467473812,17.911635419393843,42120,16.276164114368157
2019.0,9,1819.013690798509,16.084356952054012,18798,1803.840588062632,17.297881744277216,33115,15.173102735877137
2019.0,10,1823.2009500107806,16.8818795628726,8952,1809.9885775289251,18.27738416204344,28406,13.212372481855482
2020.0,5,1821.7707668326468,16.761423546630844,13689,1815.2658018172294,16.12725086873625,40004,6.504965015417383
2020.0,6,1823.2061543502318,12.268080328898225,15333,1812.38213061862,14.056866074753101,39773,10.82402373161176
2020.0,7,1833.6375060459254,13.356221733513168,20676,1822.0844663665582,14.699209373111561,36800,11.553039679367203
2020.0,8,1849.570410556703,14.444204981823948,24248,1831.7338508334917,16.862498016929546,42382,17.836559723211394
2020.0,9,1840.831909641791,13.6583496249806,23332,1825.7318042997863,15.881550824136546,40597,15.100105342004781
2020.0,10,1842.1627771351077,18.475268537513585,7848,1825.2529670546053,17.995442175982348,21336,16.90981008050244
2021.0,5,1831.752270935862,19.923950224931776,21793,1829.7990023754892,15.310522986099215,44085,1.9532685603728623
2021.0,6,1833.6329302865445,14.119510249874407,18436,1823.8177867756751,15.900496178286856,35992,9.815143510869348
2021.0,7,1837.9540457856533,13.784698503479401,28676,1832.9971965144143,15.929107213395476,46457,4.95684927123898
2021.0,8,1848.3096895154692,16.119753460266345,28227,1843.063147330857,16.566190604806245,46355,5.246542184612281
2021.0,9,1870.2404093090365,15.470958318359813,28490,1852.783510649934,18.643831096896026,47107,17.456898659102535
2021.0,10,1852.048254587275,17.070641966106578,10220,1843.9912550274582,16.92710978696152,30385,8.056999559816859
2022.0,5,1842.613928897229,12.111589350050405,29508,1838.514217678201,12.626325012075505,46466,4.099711219027995
2022.0,6,1849.2546559006407,14.464747365389256,27130,1836.3912346821282,16.62870093987175,43955,12.863421218512485
2022.0,7,1856.8260236967376,18.415921695568702,28305,1852.997625553751,19.989828019882033,43264,3.8283981429865435
2022.0,8,1869.9678853378605,17.95878142388954,2262,1867.8893655007837,18.085585577944418,10488,2.078519837076783
2022.0,9,1869.1367288384538,15.220306981025656,22928,1861.937404244545,17.25249539093659,37586,7.199324593908841
2022.0,10,1873.3689415752708,17.216520318784735,11992,1866.4688352861126,17.58778585905454,28737,6.900106289158202
2023.0,5,1860.8017925437741,12.96318900566863,33259,1858.9137326677558,10.57764361350431,49929,1.8880598760183602
2023.0,6,1864.4294176875458,15.190678937068213,23477,1856.2614261536087,16.707471087183652,43313,8.167991533937084
2023.0,7,1866.211134454349,11.979908114859922,33965,1860.1138103455755,13.934048411522655,47764,6.097324108773364
2023.0,8,1883.9818455077186,11.396838534015993,29830,1870.1856718223105,18.334702438330755,36880,13.796173685408121
2023.0,9,1881.9052695642392,10.138816104077787,32467,1872.514210454881,11.612121778877263,49660,9.391059109358139
2023.0,10,1866.8930747541128,21.664709825818196,10642,1865.6455168156367,20.618164457346843,28211,1.2475579384761204
2024.0,5,1850.8110287839477,21.546207512492543,30067,1857.225760450776,21.532218714524053,46595,-6.414731666828402
2024.0,6,1865.352044828912,20.538014720116166,29651,1865.492220466623,13.798547550900489,49071,-0.14017563771085406
2024.0,7,1879.3266988517316,13.786294841513845,33764,1876.2171190179645,13.61385179115532,48168,3.1095798337671567
2024.0,8,1881.4699339754914,20.137560339926623,22896,1872.7281195137512,23.05056351097092,31910,8.741814461740205
2024.0,9,1894.0381206260467,14.47882279689482,30786,1884.2534982382635,15.637499018259497,46842,9.784622387783202
2024.0,10,1893.6361871371107,22.72997535683184,13729,1894.7401020314715,21.818573195104918,28738,-1.1039148943607415
2025.0,5,1859.7438868873674,23.054702735715367,30858,1863.4745343216557,20.11929982929894,46627,-3.7306474342883575
2025.0,6,1865.8988836773367,22.89010845430968,27631,1863.3026181698945,16.781524520195035,47599,2.59626550744224
2025.0,7,1887.6846834006137,15.804126779029975,32206,1877.2317934843163,17.509350177073028,47331,10.452889916297408
2025.0,8,1896.5077699973378,13.051943401464653,33579,1886.5470437695506,16.121172115206882,46200,9.96072622778729
2025.0,9,1895.5553234030247,14.591006725268933,31926,1887.0950989588705,16.27420674993176,48274,8.460224444154164
2025.0,10,1915.4991370966743,17.433539742325184,10588,1909.1492860746164,20.468209456011255,31298,6.349851022057919
